RestaurantID,RestaurantName,Description,LogoImage,BusinessStatus,DeliveryFee,MinimumOrderAmount,DeliveryArea,AverageRating
1136,Smith and Sons 4,Cross-platform system-worthy hardware,https://picsum.photos/993/35,Closed,7.28,30.38,Ibarrafort,3.4
1137,Perry Arellano and Martin,Upgradable impactful adapter,https://placekitten.com/896/834,Closed,3.14,26.0,Christophermouth,3.7
1138,Reilly Hayes and Morales,Expanded asymmetric alliance,https://picsum.photos/154/671,Resting,4.45,27.44,Gibsonmouth,4.8
1139,Fox PLC,Seamless neutral open system,https://picsum.photos/685/394,Closed,2.38,18.05,Hollyview,3.3
1140,Turner-Cooper,Re-contextualized demand-driven superstructure,https://dummyimage.com/418x873,Resting,7.24,19.84,Lake Dylanbury,4.0
1141,Robinson Odonnell and Jackson,Cross-group needs-based model,https://picsum.photos/52/723,Closed,3.58,53.53,Morrisville,3.3
1142,Thompson Ltd,Grass-roots grid-enabled architecture,https://picsum.photos/436/229,Open,8.34,51.77,South Jodiville,4.5
1143,Molina Sutton and Foster,Function-based discrete support,https://picsum.photos/982/926,Closed,6.39,33.96,South Gregory,4.8
1144,Monroe-Scott,Centralized uniform application,https://dummyimage.com/690x278,Open,7.76,28.73,Lindseyview,3.8
1145,Hall-Watts,Inverse next generation collaboration,https://picsum.photos/671/9,Closed,6.96,38.25,Lake Matthew,3.7
1146,Hunter PLC,Secured multi-state groupware,https://placekitten.com/471/140,Open,7.55,18.14,Kathrynhaven,3.1
1147,Taylor-Turner,Mandatory well-modulated website,https://picsum.photos/762/324,Resting,4.24,51.03,West Logan,4.6
1148,Thompson Serrano and Reynolds,Inverse mission-critical moderator,https://dummyimage.com/734x711,Open,5.84,34.33,North Amandabury,4.3
1149,West LLC,Fully-configurable empowering help-desk,https://placekitten.com/664/723,Open,8.94,16.56,North Michaelstad,3.7
1150,Herring-Collins,Re-engineered asymmetric policy,https://picsum.photos/889/208,Closed,3.98,39.53,South Michele,3.4
1151,Morrow Inc,Innovative modular hierarchy,https://dummyimage.com/758x641,Resting,2.37,31.61,Vanessatown,4.7
1152,Thompson-Allen,Mandatory zero administration toolset,https://dummyimage.com/767x75,Open,4.18,53.1,Johnsonstad,4.5
1153,Valdez Tran and Smith,Enhanced asymmetric matrix,https://dummyimage.com/392x585,Open,7.42,50.56,Robertfort,4.6
1154,Todd-Brown,Universal fault-tolerant leverage,https://placekitten.com/301/692,Resting,6.63,40.43,East Natasha,3.3
1155,Haley Gomez and Santiago,Business-focused composite support,https://dummyimage.com/291x800,Closed,4.13,46.57,Lake Christine,4.0
1156,Ramos LLC,Implemented transitional model,https://picsum.photos/313/367,Closed,8.86,54.87,Port Crystal,4.2
1157,Crosby Goodman and Thompson,Front-line impactful moderator,https://placekitten.com/937/30,Resting,2.45,38.82,West Andreafurt,5.0
1158,Wolfe Cooley and Glenn,Synergized client-driven frame,https://dummyimage.com/77x922,Open,3.73,29.05,West Sarahburgh,4.9
1159,Leonard-Powers,Proactive uniform attitude,https://picsum.photos/954/244,Resting,2.79,46.97,Cindytown,3.6
1160,Zuniga PLC,Focused systemic Internet solution,https://picsum.photos/385/444,Resting,6.37,16.38,Maryport,4.9
1161,Wilson-Jones 2,Synchronized asynchronous groupware,https://dummyimage.com/500x404,Open,3.87,36.38,East Julieberg,4.2
1162,Garcia Tapia and Johnson,Integrated client-server benchmark,https://placekitten.com/512/573,Open,2.21,59.06,East Jeremiahfurt,3.3
1163,Campbell PLC,Balanced static capability,https://picsum.photos/725/846,Resting,5.0,58.05,Santosstad,4.2
1164,Zimmerman-Finley,Robust 3rdgeneration paradigm,https://dummyimage.com/406x469,Closed,4.16,27.57,Douglasstad,4.1
1165,Smith-Anderson,Vision-oriented 3rdgeneration flexibility,https://picsum.photos/158/168,Open,4.63,59.13,West Jacqueline,4.6
1166,Macdonald Group,Managed system-worthy paradigm,https://placekitten.com/299/309,Closed,2.21,16.17,Kellyland,4.8
1167,Chan Edwards and Harris,Intuitive asymmetric groupware,https://placekitten.com/149/615,Resting,7.96,31.21,West Garrett,3.6
1168,Walters and Sons,Balanced system-worthy implementation,https://picsum.photos/62/423,Closed,8.7,47.93,Garciaton,3.3
1169,Green Myers and Harris,Decentralized tertiary concept,https://placekitten.com/34/441,Closed,9.73,39.97,Kimstad,3.7
1170,Hicks Group,Upgradable hybrid hub,https://picsum.photos/929/795,Open,6.73,36.68,Josephtown,4.4
1171,Soto LLC,Phased neutral hardware,https://placekitten.com/209/921,Resting,4.3,34.86,Deanfurt,3.5
1172,Pennington-Barnett,Function-based asymmetric Internet solution,https://picsum.photos/415/955,Closed,3.38,49.25,East Rachael,4.4
1173,Benson-Archer,Customer-focused background software,https://placekitten.com/915/810,Closed,6.9,42.11,Lake Corey,4.2
1174,Blackwell Ray and Gonzales,Networked needs-based adapter,https://placekitten.com/697/673,Resting,8.32,45.56,South Joshua,4.7
1175,Cruz Arnold and Ford,Re-contextualized human-resource info-mediaries,https://placekitten.com/626/782,Closed,7.86,56.91,West Jesseside,3.1
1176,Harris Carter and Molina,Profound actuating help-desk,https://picsum.photos/222/703,Closed,7.59,34.26,Lake Russellland,4.5
1177,Mcdonald-Rodriguez,Down-sized neutral infrastructure,https://placekitten.com/588/954,Open,6.7,21.39,North Nathan,3.1
1178,Williams Ltd 2,Decentralized neutral hardware,https://picsum.photos/153/831,Closed,2.8,37.49,Port Elizabethchester,5.0
1179,Harrison-West,Configurable non-volatile moratorium,https://dummyimage.com/478x632,Resting,3.05,35.19,East Barry,4.8
1180,Brown Green and Hernandez,Optimized systemic emulation,https://dummyimage.com/467x49,Closed,2.83,57.22,Danielbury,4.5
1181,Vaughn Hall and Ayala,Devolved object-oriented array,https://picsum.photos/382/514,Closed,7.02,33.0,South Amberborough,4.8
1182,West PLC 2,Multi-tiered 5thgeneration middleware,https://dummyimage.com/412x813,Open,7.01,48.83,Lake Joseph,3.4
1183,Brown Inc,Expanded multi-state website,https://dummyimage.com/497x723,Closed,3.57,39.53,West Brittany,3.4
1184,Klein Thompson and Conner,Operative tertiary interface,https://dummyimage.com/153x889,Resting,4.29,23.48,New Tammy,4.7
1185,Pennington Parker and Parker,Distributed logistical implementation,https://dummyimage.com/39x961,Closed,6.2,41.16,New Kathleenton,3.2
1186,Bush Carr and Kent,Networked explicit analyzer,https://placekitten.com/996/269,Closed,3.4,45.71,Lake Ashley,4.3
1187,Nguyen Ltd,Focused directional Internet solution,https://placekitten.com/92/45,Resting,8.64,44.95,Port Andrew,4.6
1188,Leon-Garrett,Networked bottom-line migration,https://placekitten.com/609/612,Resting,7.4,37.91,South Christopher,5.0
1189,Orozco and Sons,Multi-tiered object-oriented infrastructure,https://placekitten.com/712/850,Closed,8.67,51.31,Patrickfort,3.5
1190,Wood and Sons,Integrated system-worthy array,https://dummyimage.com/759x961,Open,9.45,19.28,West Jennifer,3.9
1191,Mcdowell PLC,Optional executive intranet,https://picsum.photos/921/102,Open,6.63,52.34,Donaldburgh,4.1
1192,Hernandez Group,Expanded dynamic hierarchy,https://dummyimage.com/532x638,Resting,8.52,51.07,Mercerville,3.9
1193,Hutchinson-Woodard,Team-oriented actuating projection,https://picsum.photos/191/222,Resting,5.39,52.39,Lake Amy,3.0
1194,Lopez Mcdonald and Vasquez,Vision-oriented bottom-line architecture,https://picsum.photos/486/785,Open,3.26,21.11,South Jenniferport,4.0
1195,Clark-Green,Multi-tiered fault-tolerant system engine,https://placekitten.com/244/324,Closed,2.29,20.85,West Amber,3.8
1196,Gallagher PLC,Realigned national framework,https://placekitten.com/677/191,Resting,6.23,51.27,Andradeville,3.9
1197,Barrett and Sons,Realigned 24hour project,https://placekitten.com/816/806,Resting,6.77,41.19,New Tracy,3.5
1198,Hatfield and Sons,Function-based responsive database,https://picsum.photos/684/334,Resting,4.64,37.2,Andreastad,3.6
1199,Snyder-Lewis,Distributed reciprocal function,https://placekitten.com/185/138,Open,5.39,26.61,Taylorborough,4.2
1200,Gonzalez Inc,Reactive stable circuit,https://dummyimage.com/552x478,Closed,2.93,32.99,Angelabury,4.8
1201,Dennis-Cox,Optimized multi-tasking emulation,https://placekitten.com/764/664,Closed,7.7,21.16,Matthewmouth,4.9
1202,Cooper Group,Exclusive mission-critical superstructure,https://placekitten.com/715/211,Closed,9.14,25.03,New Wendyshire,4.0
1203,Wilson Hensley and Wheeler,Secured bifurcated flexibility,https://dummyimage.com/653x66,Closed,4.79,36.35,East Brett,4.1
1204,Taylor Black and Simmons,Quality-focused bi-directional matrices,https://placekitten.com/911/42,Open,8.27,21.89,East Catherinestad,4.0
1205,King Love and Cunningham,Profit-focused real-time database,https://placekitten.com/449/975,Closed,2.55,16.85,Chrisberg,3.5
1206,Williams Santiago and Robinson,Monitored grid-enabled hardware,https://dummyimage.com/94x356,Resting,3.86,18.6,North Jennifer,4.0
1207,Mccoy Group,Devolved tertiary infrastructure,https://dummyimage.com/873x859,Resting,9.21,27.74,Fernandezton,5.0
1208,Logan-Mccormick,Operative dynamic contingency,https://placekitten.com/292/438,Closed,9.5,19.42,Lake John,4.3
1209,Ellis Group,Business-focused 4thgeneration matrix,https://placekitten.com/74/199,Resting,8.81,34.63,West Carl,4.4
1210,Delgado LLC,Fully-configurable logistical productivity,https://placekitten.com/312/306,Open,2.2,53.96,Hopkinsland,3.4
1211,Grant LLC,Sharable bi-directional budgetary management,https://placekitten.com/818/30,Open,9.4,31.24,East Ronald,4.6
1212,Taylor Gross and May,Robust tertiary adapter,https://picsum.photos/269/570,Resting,9.05,50.33,Warnertown,4.8
1213,Callahan PLC,Optional multimedia standardization,https://dummyimage.com/41x812,Closed,6.26,37.83,East Gregoryport,3.2
1214,Bowman-Ingram,Devolved hybrid neural-net,https://picsum.photos/424/360,Resting,7.94,49.4,West Lisa,4.9
1215,French PLC,Grass-roots interactive projection,https://placekitten.com/284/534,Closed,4.74,57.09,Mcguirefurt,3.8
1216,Riley Ltd,Upgradable exuding customer loyalty,https://dummyimage.com/29x159,Open,2.96,31.61,South Cathyshire,3.1
1217,Gordon Pratt and Lee,Devolved high-level hierarchy,https://picsum.photos/3/987,Closed,3.36,46.09,Jerrychester,3.8
1218,Dennis Shea and Jacobson,Proactive content-based Graphic Interface,https://picsum.photos/915/254,Resting,5.78,44.03,Flowersville,3.6
1219,Parsons-Arnold,Public-key discrete support,https://dummyimage.com/1023x406,Open,3.35,48.41,Lake Jacobburgh,3.7
1220,Bush-White,Intuitive context-sensitive collaboration,https://picsum.photos/509/462,Closed,3.34,46.37,Jillianside,4.2
1221,Buck Doyle and Morris,Sharable encompassing software,https://picsum.photos/63/714,Open,7.34,40.2,New Kevin,3.5
1222,Morrison-Manning,Enterprise-wide cohesive synergy,https://picsum.photos/856/62,Resting,8.97,39.8,Mindyfort,4.8
1223,Hill Ayers and Case,Upgradable radical conglomeration,https://picsum.photos/306/314,Open,3.11,24.01,Lake Valerie,4.3
1224,Fuentes Stephens and Lane,Persistent 6thgeneration capability,https://picsum.photos/1022/148,Open,2.25,58.44,Carterville,4.1
1225,Saunders West and Allen,Fundamental explicit strategy,https://picsum.photos/836/799,Open,5.39,44.25,Susanfort,3.6
1226,Orr Wood and Williams,Cross-group systemic knowledge user,https://picsum.photos/447/384,Closed,5.01,33.75,Meyersmouth,3.3
1227,Mckinney Hernandez and Pineda,Expanded bottom-line open architecture,https://placekitten.com/123/767,Open,4.73,37.45,Joshuaton,4.0
1228,Ellison and Sons,Seamless demand-driven flexibility,https://placekitten.com/67/1010,Open,5.84,19.23,Port Devonborough,4.6
1229,Bridges Higgins and Wilson,Distributed demand-driven collaboration,https://dummyimage.com/810x1015,Resting,8.68,21.29,Port Tracy,3.5
1230,Rodriguez-Chandler,Implemented actuating middleware,https://dummyimage.com/204x263,Resting,2.72,15.18,North Larry,3.9
1231,Paul LLC,Operative heuristic knowledgebase,https://picsum.photos/223/389,Closed,4.26,49.69,South Danielle,4.9
1232,Palmer and Sons,Secured dynamic framework,https://dummyimage.com/90x165,Open,2.96,43.69,Portermouth,3.9
1233,Vasquez-Elliott,Progressive tertiary utilization,https://dummyimage.com/818x781,Closed,2.23,46.05,New Jamesborough,5.0
1234,Wilkerson Inc,De-engineered foreground flexibility,https://dummyimage.com/254x447,Resting,6.12,22.38,Lake Dawn,4.2
1235,Ellison Group,Stand-alone user-facing open system,https://dummyimage.com/512x69,Open,5.57,15.65,West Michaelfort,3.8
1236,Watkins-Stokes,Secured 24hour complexity,https://placekitten.com/134/764,Closed,7.67,59.68,West Calvinland,3.7
1237,Martinez-Taylor,Networked dynamic utilization,https://placekitten.com/904/393,Open,3.83,42.47,Susanville,3.3
1238,Nguyen Nelson and Coffey,Right-sized mobile methodology,https://placekitten.com/969/103,Closed,6.2,44.23,Antonioport,4.0
1239,Lawrence PLC,Persevering national success,https://placekitten.com/171/628,Closed,5.62,59.2,Batesborough,3.3
1240,Davenport-Mullen,Synchronized client-server interface,https://dummyimage.com/920x503,Closed,2.57,52.28,Port Craigbury,3.6
1241,Steele Rivers and Schwartz,Intuitive 24hour utilization,https://picsum.photos/690/540,Resting,4.55,45.44,Louisport,5.0
1242,Fuller Group,Managed regional intranet,https://dummyimage.com/420x860,Resting,3.18,45.03,Mariachester,4.9
1243,Valdez Davis and Woods,Re-contextualized contextually-based pricing structure,https://picsum.photos/303/102,Resting,5.92,33.57,Lake Kylefort,4.8
1244,Mora PLC,Multi-layered explicit help-desk,https://dummyimage.com/940x195,Open,4.43,56.83,Whitehaven,4.7
1245,Chavez Ltd,Exclusive encompassing structure,https://picsum.photos/533/688,Closed,4.09,49.31,Kristifort,3.3
1246,Adams Inc,Programmable methodical benchmark,https://picsum.photos/726/9,Open,4.58,47.22,South Juan,3.8
1247,Patterson-King,Face-to-face encompassing leverage,https://dummyimage.com/554x614,Open,9.9,24.51,Williamhaven,3.2
1248,Flowers Walsh and Stewart,Synchronized next generation neural-net,https://picsum.photos/630/467,Resting,10.0,40.78,Grayville,4.3
1249,Sanchez Tyler and Perry,Optimized static extranet,https://placekitten.com/214/319,Open,4.63,36.25,Samanthaburgh,3.3
1250,Davila-Johnson,Persevering 24/7 product,https://placekitten.com/4/448,Closed,6.18,25.78,West Catherine,4.3
1251,Clark Group 2,Right-sized object-oriented system engine,https://placekitten.com/715/966,Resting,2.33,28.57,Romeromouth,4.5
1252,Brewer Griffin and Murray,Cloned holistic approach,https://dummyimage.com/376x798,Open,5.04,25.89,North Matthew,4.7
1253,Farrell Lee and Brown,Innovative tertiary Internet solution,https://dummyimage.com/973x435,Resting,9.41,22.2,Allenmouth,3.3
1254,Cooper PLC,Streamlined multi-state implementation,https://picsum.photos/797/52,Closed,5.86,37.95,Rogerchester,3.9
1255,Campos Wood and Johnson,Down-sized attitude-oriented model,https://picsum.photos/874/983,Closed,9.41,19.02,East Samuel,4.0
1256,Figueroa Inc,Optional upward-trending service-desk,https://picsum.photos/686/518,Closed,8.92,54.89,Lindamouth,4.1
1257,Gordon Hernandez and Griffin,Up-sized 24hour hardware,https://picsum.photos/299/758,Closed,3.95,56.94,East Robert,3.5
1258,Walker PLC,Monitored demand-driven ability,https://placekitten.com/320/1017,Closed,7.01,49.57,New Annette,3.1
1259,Harris-Phelps,Public-key bifurcated standardization,https://dummyimage.com/916x765,Closed,8.82,42.44,Port Brandonview,3.5
1260,Clayton Nelson and Tran,Diverse user-facing implementation,https://dummyimage.com/118x585,Closed,8.81,26.49,West Katherineton,4.0
1261,Miller Ltd,Integrated scalable product,https://picsum.photos/513/343,Open,4.7,16.55,North Taylorfort,4.2
1262,Williams Ltd 3,Up-sized tangible core,https://placekitten.com/651/615,Resting,4.18,29.8,New Barry,4.7
1263,Harris Inc,Implemented bottom-line challenge,https://placekitten.com/558/304,Resting,5.21,40.08,Campbellstad,3.8
1264,Werner Fisher and Forbes,Visionary upward-trending model,https://dummyimage.com/535x331,Closed,2.53,36.4,East Zachary,4.4
1265,Wright Manning and Nichols,Triple-buffered needs-based approach,https://picsum.photos/924/996,Open,3.58,57.51,Newtontown,3.3
1266,Mercer Inc,Adaptive background core,https://placekitten.com/161/735,Closed,5.27,17.89,New Christina,3.2
1267,Howard Beasley and Mack,Enhanced demand-driven time-frame,https://picsum.photos/587/124,Open,9.54,59.71,South Charles,4.9
1268,Garcia Martinez and Johnson,Virtual 24/7 policy,https://picsum.photos/765/669,Closed,7.93,35.46,Ellischester,3.9
1269,King-Melton,Reactive holistic conglomeration,https://picsum.photos/397/493,Closed,3.08,44.3,Lorifort,3.4
1270,Pineda-Blankenship,De-engineered zero-defect conglomeration,https://dummyimage.com/765x535,Closed,7.98,43.17,Romerohaven,4.8
1271,Zamora Inc,Innovative hybrid paradigm,https://picsum.photos/351/557,Open,8.83,57.43,Sawyerborough,4.2
1272,Austin Ltd,Innovative real-time Graphic Interface,https://placekitten.com/710/799,Resting,8.84,59.23,Josephside,4.5
1273,Payne-Graham,Optimized regional benchmark,https://picsum.photos/404/908,Open,8.48,29.07,South Andrew,3.4
1274,Whitaker LLC,Automated web-enabled leverage,https://placekitten.com/949/357,Closed,2.65,59.61,South Cindy,3.9
1275,Stevenson Cardenas and Miller,Front-line object-oriented info-mediaries,https://picsum.photos/547/336,Resting,8.35,28.2,Port Angela,4.5
1276,Watson-Buckley,Decentralized intermediate customer loyalty,https://dummyimage.com/786x731,Open,4.35,23.12,East Michelle,3.4
1277,Hubbard Rodriguez and Barnes,User-friendly next generation synergy,https://picsum.photos/174/361,Closed,8.28,59.24,Lake Amanda,4.4
1278,Phillips-Villegas,Expanded discrete Graphic Interface,https://picsum.photos/275/358,Closed,2.84,56.12,New Kimberly,3.9
1279,King-Wilson,User-friendly grid-enabled ability,https://placekitten.com/688/236,Resting,3.49,52.73,East Michael,4.3
1280,Solis-Holland,Re-contextualized optimizing orchestration,https://dummyimage.com/1014x512,Closed,3.09,22.96,North Stanleyborough,3.2
1281,Kent Ltd,Implemented intermediate intranet,https://dummyimage.com/1016x754,Closed,7.81,16.68,South Felicia,4.3
1282,Carter Lowery and Brady,Automated content-based infrastructure,https://picsum.photos/650/88,Open,5.0,58.92,South Andrewberg,3.5
1283,Richards-Landry,Diverse grid-enabled implementation,https://picsum.photos/305/911,Resting,4.85,16.58,Emilyfurt,3.2
1284,Ramos Ramirez and Allen,Horizontal fault-tolerant Graphic Interface,https://picsum.photos/134/456,Open,2.53,39.02,Harrischester,4.8
1285,Dennis Ltd,User-centric 6thgeneration Graphic Interface,https://picsum.photos/398/544,Closed,4.1,51.01,West Lisaport,4.7
1286,Arroyo-Allen,Function-based global contingency,https://dummyimage.com/448x190,Closed,7.26,25.23,East Christina,3.0
1287,Hansen Potter and Jones,Synergistic fault-tolerant groupware,https://picsum.photos/753/473,Open,3.06,21.97,New Veronicaberg,4.6
1288,Jones Ltd 2,Multi-channeled motivating moderator,https://picsum.photos/5/983,Resting,9.09,56.11,East Timothyberg,4.4
1289,Jones PLC 2,Progressive next generation moratorium,https://picsum.photos/44/874,Open,6.45,18.65,West Emilychester,3.8
1290,Schwartz Lopez and Morgan,Intuitive zero administration access,https://picsum.photos/750/622,Open,3.43,59.51,Terryburgh,3.1
1291,Avery-Johnson,Decentralized scalable Internet solution,https://picsum.photos/642/265,Closed,3.93,50.89,Mccarthymouth,4.4
1292,Ramirez PLC 3,Fundamental 4thgeneration hardware,https://dummyimage.com/699x588,Resting,7.18,23.94,South Sethborough,3.9
1293,Monroe-Young,Mandatory directional circuit,https://placekitten.com/220/362,Open,6.94,18.85,East Randyton,4.2
1294,Valdez Ltd,Horizontal empowering task-force,https://picsum.photos/41/401,Open,5.34,32.91,Drakefort,4.8
1295,Robles-Young,Mandatory national complexity,https://placekitten.com/129/24,Resting,2.43,59.97,Normanberg,3.9
1296,Villanueva-Schmidt,Diverse foreground pricing structure,https://picsum.photos/576/309,Open,9.32,39.4,Reyeschester,3.9
1297,Dillon Lewis and Fernandez,Profit-focused context-sensitive ability,https://dummyimage.com/743x380,Closed,8.23,35.66,Lake Juanside,3.7
1298,Snyder Jones and Fisher,Mandatory well-modulated moratorium,https://picsum.photos/737/575,Resting,9.31,52.67,East Nicoleview,4.1
1299,Murray Cooper and Harris,Customizable leadingedge database,https://placekitten.com/679/731,Resting,8.64,36.62,Port Bradley,3.5
1300,Anderson-Tucker,Polarized directional firmware,https://placekitten.com/244/536,Resting,3.14,38.66,Lake Carol,4.2
1301,Kim Ltd,Synergistic 3rdgeneration initiative,https://dummyimage.com/951x451,Resting,7.86,22.97,South Samanthatown,3.5
1302,Taylor-Reed,Persistent hybrid secured line,https://picsum.photos/592/484,Closed,4.47,30.01,Michaelport,3.6
1303,Ramos-Barton,Innovative tangible complexity,https://picsum.photos/34/654,Resting,9.58,23.8,Gwendolynberg,4.2
1304,Brown Taylor and Kennedy,Configurable tertiary model,https://dummyimage.com/739x105,Resting,6.05,35.56,Hooverfurt,3.5
1305,Peters-Schmidt,Robust multi-tasking Internet solution,https://placekitten.com/704/876,Closed,2.76,17.73,North Timothybury,3.4
1306,Chapman-Branch,Organized bandwidth-monitored policy,https://dummyimage.com/73x83,Open,9.79,39.08,Ericchester,4.0
1307,Raymond Wheeler and Munoz,Multi-lateral national application,https://picsum.photos/90/50,Closed,4.18,45.47,Holtton,4.9
1308,Lynch Ballard and Miller,Business-focused dynamic definition,https://picsum.photos/181/360,Closed,7.86,18.27,Burtonbury,3.5
1309,Ferguson Norman and Carrillo,De-engineered directional success,https://placekitten.com/422/102,Open,6.14,57.81,Evanstown,3.6
1310,Warren Shea and Heath,Compatible exuding standardization,https://picsum.photos/927/203,Resting,3.88,45.49,Smithtown,4.0
1311,Ramos Meyer and Harrell,Enhanced incremental firmware,https://dummyimage.com/744x699,Resting,6.32,43.0,Lisastad,4.2
1312,Scott-Macdonald,Public-key systematic algorithm,https://dummyimage.com/43x742,Resting,3.23,37.51,Joshuafurt,3.8
1313,Rose-Macias,Open-architected 6thgeneration service-desk,https://placekitten.com/880/911,Closed,4.39,41.19,West Brian,4.7
1314,Riley-Garcia,Persistent executive encoding,https://dummyimage.com/792x662,Resting,3.98,52.04,East Debraton,4.9
1315,Smith Inc 2,Cross-group systemic adapter,https://placekitten.com/162/433,Closed,2.35,51.49,West Amanda,3.9
1316,Foster Group,Open-source dynamic matrices,https://dummyimage.com/466x346,Resting,4.51,33.72,Lake Jennifer,4.8
1317,Norris-Henry,Triple-buffered 6thgeneration policy,https://dummyimage.com/521x149,Open,6.52,39.21,Port Tammy,3.8
1318,Mann and Sons,Secured 5thgeneration analyzer,https://placekitten.com/539/343,Open,6.32,35.06,North Timothyfort,4.9
1319,Evans Williams and Bailey,Synergistic holistic frame,https://picsum.photos/479/723,Resting,6.0,45.58,South Garyland,3.2
1320,Brown-Combs,Fully-configurable optimal hierarchy,https://dummyimage.com/765x293,Open,8.15,43.03,Riverastad,3.7
1321,Flores Terry and Wilson,Team-oriented actuating solution,https://picsum.photos/678/336,Closed,5.77,18.23,Lake Rebecca,4.3
1322,Walker-Mendez,Progressive logistical system engine,https://placekitten.com/297/745,Resting,3.58,22.12,North Andreaton,4.0
1323,Johnson Ltd 2,Visionary analyzing synergy,https://dummyimage.com/183x691,Open,5.79,29.79,Millerborough,3.6
1324,Miranda Inc,Sharable actuating methodology,https://picsum.photos/956/416,Closed,3.67,32.16,Phillipsmouth,3.9
1325,Cole Inc,Distributed disintermediate utilization,https://placekitten.com/560/904,Resting,8.24,54.94,Lake Joseph,4.8
1326,Ortiz PLC,Exclusive directional approach,https://placekitten.com/197/811,Resting,9.01,25.79,Jasonton,3.1
1327,Willis PLC,Re-contextualized background instruction set,https://dummyimage.com/535x578,Resting,5.07,54.45,Port Michael,3.1
1328,Todd Inc,Adaptive intangible artificial intelligence,https://placekitten.com/400/978,Resting,3.97,54.55,Jonathanberg,4.8
1329,Gibson and Sons,Cloned homogeneous circuit,https://picsum.photos/636/289,Open,8.15,41.25,Port Patricia,4.0
1330,Burton Leonard and Johnston,Front-line content-based synergy,https://picsum.photos/186/495,Closed,3.98,51.06,Andersonstad,4.1
1331,Hutchinson-Foley,Monitored next generation forecast,https://placekitten.com/66/289,Open,8.41,16.12,Lake Arielville,3.7
1332,Wood Nunez and Reeves,Open-architected neutral encoding,https://placekitten.com/247/977,Closed,8.87,26.17,Gregview,4.1
1333,Schroeder Harris and Campbell,Decentralized multi-tasking implementation,https://picsum.photos/344/992,Resting,9.8,43.63,Weavermouth,4.0
1334,Nelson Dean and Smith,Synchronized dedicated capability,https://placekitten.com/703/208,Open,5.53,48.05,Jonestown,4.8
1335,Hunt-Ross,User-centric clear-thinking matrices,https://placekitten.com/228/431,Resting,3.37,24.96,Christineburgh,3.5
1336,Crawford Floyd and Perez,Total client-driven algorithm,https://picsum.photos/659/1003,Resting,9.05,41.13,East Ryanshire,3.0
1337,Walker Ltd 2,Ameliorated national emulation,https://placekitten.com/439/500,Resting,8.2,49.81,Richardview,3.7
1338,Espinoza Smith and Marshall,Synergized next generation functionalities,https://dummyimage.com/1013x994,Closed,8.82,30.43,Hernandezburgh,3.8
1339,Kramer Inc,Extended homogeneous product,https://picsum.photos/878/398,Open,9.73,27.13,East Kimberlyburgh,3.3
1340,Kim Lee and Wilson,User-centric incremental instruction set,https://dummyimage.com/429x399,Open,4.26,43.84,Timothyborough,4.2
1341,Hardin-Rosales,Cross-platform object-oriented website,https://picsum.photos/481/475,Resting,8.05,51.09,Jasontown,4.6
1342,Payne-Orozco,Horizontal client-driven strategy,https://picsum.photos/816/19,Resting,4.96,21.02,Rosschester,3.4
1343,Shah Brown and Richardson,Vision-oriented coherent moderator,https://dummyimage.com/797x545,Resting,4.22,48.85,Wardhaven,3.3
1344,Cooper-Hurst,Re-contextualized web-enabled capability,https://dummyimage.com/575x233,Closed,3.35,25.55,North Elizabeth,3.4
1345,Smith-Bowman,Pre-emptive global database,https://placekitten.com/659/785,Open,3.38,40.69,Lake Megan,4.4
1346,Delacruz and Sons,Virtual dedicated system engine,https://dummyimage.com/804x342,Open,6.23,25.31,North Micheal,3.5
1347,Snyder PLC,Extended foreground pricing structure,https://dummyimage.com/571x627,Closed,7.95,39.27,North Jamieburgh,3.0
1348,Burns Anderson and Banks,Customizable system-worthy implementation,https://placekitten.com/544/421,Open,6.67,19.23,Alexanderfort,3.6
1349,Franklin Murray and Hill,Grass-roots demand-driven instruction set,https://picsum.photos/711/403,Resting,9.31,34.89,North Jacobside,4.7
1350,Moore Smith and Arnold,Organic intermediate protocol,https://placekitten.com/159/48,Closed,8.32,40.77,Michaelport,3.1
1351,Burns Mcmillan and White,Seamless contextually-based matrix,https://picsum.photos/149/573,Resting,4.43,30.79,Patrickstad,4.6
1352,Miller Harris and Chambers,Decentralized dynamic complexity,https://placekitten.com/801/696,Resting,3.44,27.46,West Monicatown,3.8
1353,Gentry and Sons,Customizable high-level matrices,https://placekitten.com/584/620,Closed,5.37,56.76,Erinview,4.2
1354,Dawson-White,Automated heuristic architecture,https://placekitten.com/917/551,Resting,6.72,50.71,South Nicolefurt,4.6
1355,Carter Ltd,Progressive non-volatile encoding,https://placekitten.com/366/325,Open,8.88,45.9,Matthewhaven,3.6
1356,Martinez Collins and Walters,Monitored zero-defect productivity,https://placekitten.com/283/371,Open,3.84,21.0,Parkermouth,4.6
1357,Smith-Roman,Operative contextually-based portal,https://dummyimage.com/4x576,Open,6.33,58.7,Jeremyton,3.5
1358,Smith-Becker,Intuitive bifurcated Graphic Interface,https://placekitten.com/353/301,Open,3.56,51.9,Terrymouth,4.5
1359,Thompson Jordan and Adams,Enhanced non-volatile solution,https://dummyimage.com/695x408,Closed,8.9,43.4,South Kathryn,4.4
1360,Wolf Ltd,Quality-focused dedicated matrices,https://picsum.photos/691/993,Resting,8.91,29.74,Gilbertland,3.6
